[2025-07-22 22:14:08] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=54782 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=54782
[2025-07-22 22:14:08] [NEW] udp      17 30 src=192.168.10.111 dst=35.190.72.216 sport=33259 dport=443 [UNREPLIED] src=35.190.72.216 dst=192.168.10.111 sport=443 dport=33259
[2025-07-22 22:14:08] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=45948 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=45948
[2025-07-22 22:14:08] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=35.244.181.201 sport=43686 dport=443 [UNREPLIED] src=35.244.181.201 dst=192.168.10.111 sport=443 dport=43686
[2025-07-22 22:14:08] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=35.244.181.201 sport=43696 dport=443 [UNREPLIED] src=35.244.181.201 dst=192.168.10.111 sport=443 dport=43696
[2025-07-22 22:14:08] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=42463 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=42463
[2025-07-22 22:14:08] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=23.50.108.3 sport=59668 dport=80 [UNREPLIED] src=23.50.108.3 dst=192.168.10.111 sport=80 dport=59668
[2025-07-22 22:14:08] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=23.50.108.3 sport=59674 dport=80 [UNREPLIED] src=23.50.108.3 dst=192.168.10.111 sport=80 dport=59674
[2025-07-22 22:14:18] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=54776 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=54776
[2025-07-22 22:14:18] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=40852 dport=80 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=80 dport=40852
[2025-07-22 22:14:18] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=44715 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=44715
[2025-07-22 22:14:18] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=54132 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=54132
[2025-07-22 22:14:18] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=58983 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=58983
[2025-07-22 22:14:20] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=34687 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=34687
[2025-07-22 22:14:33] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=48762 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=48762
[2025-07-22 22:14:34] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=192.168.10.30 sport=48770 dport=443 [UNREPLIED] src=192.168.10.30 dst=192.168.10.111 sport=443 dport=48770
[2025-07-22 22:15:43] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=55777 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=55777
[2025-07-22 22:15:43] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=40421 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=40421
